#Firmware: MS2/Extra 3.4.4 release  20201006 18:17BST(c)KC/JSM/JB    uS
TriggerTime,Time
7.760,19855.814
7.777,19863.592
7.669,19871.260
7.628,19878.889
7.668,19886.557
7.706,19894.262
7.737,19901.998
7.757,19909.756
7.676,19917.432
7.648,19925.080
7.669,19932.748
7.706,19940.453
7.732,19948.186
7.715,19955.900
7.579,19963.480
7.535,19971.016
7.569,19978.584
7.607,19986.191
7.641,19993.832
7.653,20001.486
7.544,20009.031
7.504,20016.535
7.542,20024.076
7.577,20031.652
7.607,20039.260
7.546,20046.807
7.445,20054.252
7.436,20061.688
7.467,20069.154
7.502,20076.656
7.542,20084.197
7.576,20091.773
7.495,20099.268
7.461,20106.729
7.477,20114.205
7.508,20121.713
7.527,20129.240
7.460,20136.701
7.346,20144.047
7.337,20151.383
7.371,20158.754
7.403,20166.156
7.438,20173.594
7.383,20180.977
7.356,20188.332
7.376,20195.707
7.409,20203.115
7.409,20210.523
7.304,20217.828
7.260,20225.088
7.282,20232.369
7.292,20239.662
7.210,20246.871
7.090,20253.961
7.067,20261.027
7.094,20268.121
7.131,20275.252
7.111,20282.363
6.991,20289.354
6.952,20296.307
6.978,20303.285
7.012,20310.297
7.037,20317.334
6.983,20324.316
6.869,20331.186
6.853,20338.039
6.869,20344.908
6.900,20351.809
6.918,20358.727
6.846,20365.572
6.780,20372.352
6.772,20379.123
6.805,20385.928
6.821,20392.748
6.799,20399.547
6.690,20406.236
6.659,20412.895
6.678,20419.572
6.697,20426.270
6.735,20433.004
6.762,20439.766
6.732,20446.498
6.622,20453.119
6.584,20459.703
6.605,20466.309
6.634,20472.941
6.661,20479.602
6.688,20486.289
6.715,20493.004
6.735,20499.738
6.754,20506.492
6.770,20513.262
6.781,20520.043
6.802,20526.846
6.818,20533.664
6.849,20540.514
6.861,20547.375
6.876,20554.250
6.886,20561.137
6.906,20568.043
6.923,20574.965
6.943,20581.908
6.962,20588.871
6.948,20595.818
6.864,20602.682
6.838,20609.520
6.831,20616.350
6.856,20623.205
6.877,20630.082
6.821,20636.902
6.701,20643.604
6.663,20650.266
6.681,20656.945
6.715,20663.660
6.740,20670.400
6.764,20677.164
6.772,20683.936
6.725,20690.660
6.628,20697.289
6.604,20703.893
6.626,20710.518
6.650,20717.168
6.675,20723.844
6.698,20730.541
6.725,20737.266
6.737,20744.002
6.754,20750.756
6.765,20757.521
6.780,20764.301
6.802,20771.104
6.819,20777.922
6.844,20784.766
6.866,20791.631
6.893,20798.523
6.915,20805.439
6.928,20812.367
6.946,20819.313
6.978,20826.289
6.997,20833.287
7.017,20840.305
7.042,20847.346
7.069,20854.414
7.098,20861.512
7.104,20868.615
7.035,20875.650
6.962,20882.613
6.946,20889.559
6.979,20896.539
7.007,20903.547
7.003,20910.549
6.943,20917.492
6.929,20924.420
6.957,20931.377
6.983,20938.359
7.005,20945.363
6.923,20952.287
6.842,20959.129
6.832,20965.961
6.864,20972.824
6.894,20979.719
6.899,20986.617
6.827,20993.443
6.768,21000.211
6.777,21006.988
6.790,21013.779
6.819,21020.598
MARK 004
6.828,21027.426
6.836,21034.262
6.869,21041.131
6.900,21048.031
6.923,21054.953
6.873,21061.826
6.764,21068.590
6.745,21075.334
6.757,21082.092
6.794,21088.887
6.818,21095.705
6.841,21102.547
6.879,21109.426
6.888,21116.314
6.915,21123.230
6.933,21130.164
6.945,21137.109
6.962,21144.072
6.981,21151.055
7.005,21158.059
7.024,21165.082
7.037,21172.119
7.046,21179.166
7.022,21186.188
6.935,21193.123
6.915,21200.037
6.943,21206.980
6.968,21213.947
6.992,21220.939
6.972,21227.912
6.869,21234.781
6.846,21241.627
6.873,21248.500
6.900,21255.400
6.923,21262.322
6.943,21269.266
6.883,21276.148
6.816,21282.965
6.819,21289.783
6.838,21296.621
6.863,21303.484
6.873,21310.357
6.811,21317.168
6.735,21323.902
6.725,21330.627
6.749,21337.377
6.774,21344.150
6.809,21350.959
6.826,21357.785
6.764,21364.549
6.704,21371.254
6.698,21377.951
6.722,21384.674
6.745,21391.418
6.772,21398.189
6.789,21404.979
6.801,21411.779
6.789,21418.568
6.696,21425.264
6.684,21431.947
6.698,21438.645
6.727,21445.371
6.762,21452.133
6.774,21458.906
6.807,21465.713
6.811,21472.523
6.772,21479.295
6.677,21485.973
6.660,21492.633
6.675,21499.309
6.705,21506.014
6.729,21512.742
6.754,21519.496
6.769,21526.266
6.781,21533.047
6.799,21539.846
6.824,21546.670
6.838,21553.508
6.859,21560.367
6.868,21567.234
6.891,21574.125
6.906,21581.031
6.905,21587.936
6.921,21594.855
6.935,21601.791
6.943,21608.734
6.890,21615.625
6.784,21622.408
6.762,21629.170
6.786,21635.955
6.814,21642.770
6.841,21649.611
6.860,21656.471
6.848,21663.318
6.745,21670.064
6.715,21676.779
6.735,21683.514
6.764,21690.277
6.781,21697.059
6.813,21703.871
6.834,21710.705
6.842,21717.547
6.838,21724.385
6.789,21731.174
6.779,21737.953
6.747,21744.699
6.649,21751.348
6.633,21757.980
6.650,21764.631
6.673,21771.303
6.697,21778.000
6.641,21784.641
6.507,21791.148
6.383,21797.531
6.265,21803.797
6.135,21809.932
5.990,21815.922
5.858,21821.779
5.727,21827.506
5.591,21833.098
5.487,21838.584
5.432,21844.016
5.351,21849.367
5.335,21854.703
5.328,21860.031
5.335,21865.367
5.316,21870.684
5.330,21876.014
5.304,21881.318
5.298,21886.615
5.262,21891.877
5.249,21897.125
5.265,21902.391
5.284,21907.674
5.300,21912.975
5.324,21918.299
5.345,21923.643
5.363,21929.006
5.353,21934.359
5.355,21939.715
5.370,21945.084
5.378,21950.461
5.395,21955.855
5.368,21961.223
5.365,21966.588
5.351,21971.939
5.353,21977.293
5.323,21982.615
5.311,21987.926
5.330,21993.256
5.335,21998.592
5.363,22003.955
5.382,22009.338
5.407,22014.746
5.419,22020.166
5.437,22025.604
5.430,22031.033
5.429,22036.463
5.388,22041.850
5.380,22047.230
5.390,22052.619
5.397,22058.018
5.412,22063.430
5.427,22068.857
5.449,22074.307
5.465,22079.771
5.489,22085.260
5.482,22090.742
5.489,22096.230
5.447,22101.678
5.428,22107.105
5.452,22112.557
5.460,22118.016
5.479,22123.494
5.501,22128.996
5.522,22134.518
5.539,22140.057
5.568,22145.625
5.588,22151.213
5.608,22156.820
5.625,22162.445
5.610,22168.055
5.616,22173.670
5.566,22179.236
5.556,22184.793
5.549,22190.342
5.568,22195.910
5.586,22201.496
5.605,22207.102
5.627,22212.729
5.648,22218.377
5.672,22224.049
5.697,22229.746
5.717,22235.463
5.741,22241.205
5.761,22246.967
5.782,22252.748
5.806,22258.555
5.828,22264.383
5.844,22270.227
5.867,22276.094
5.886,22281.980
5.912,22287.893
5.933,22293.826
5.962,22299.789
5.982,22305.771
6.007,22311.779
6.024,22317.805
6.052,22323.855
6.083,22329.939
6.104,22336.043
6.125,22342.168
6.162,22348.330
6.180,22354.510
6.212,22360.723
6.237,22366.959
6.266,22373.225
6.294,22379.518
6.326,22385.844
6.351,22392.193
6.381,22398.574
6.403,22404.977
6.435,22411.412
6.469,22417.881
6.494,22424.375
6.529,22430.904
6.561,22437.465
6.586,22444.051
6.620,22450.672
6.648,22457.320
6.673,22463.992
6.688,22470.680
6.700,22477.379
6.658,22484.037
6.539,22490.576
6.450,22497.025
6.363,22503.389
6.329,22509.717
6.358,22516.076
6.373,22522.449
6.400,22528.850
6.420,22535.270
6.440,22541.709
6.459,22548.168
6.467,22554.635
6.486,22561.121
6.492,22567.613
6.462,22574.076
6.459,22580.535
6.393,22586.928
6.383,22593.311
6.358,22599.668
6.373,22606.041
6.341,22612.383
6.346,22618.729
6.360,22625.090
6.363,22631.453
6.368,22637.820
6.380,22644.201
6.384,22650.584
6.380,22656.965
6.393,22663.357
6.343,22669.701
6.351,22676.051
6.331,22682.381
6.314,22688.695
6.254,22694.949
6.188,22701.137
6.187,22707.324
6.190,22713.514
6.210,22719.723
6.229,22725.951
6.257,22732.207
6.282,22738.488
6.314,22744.803
6.341,22751.143
6.368,22757.512
6.399,22763.910
6.432,22770.342
6.457,22776.799
6.491,22783.289
6.514,22789.803
6.553,22796.355
6.576,22802.932
6.608,22809.539
6.623,22816.162
6.618,22822.779
6.554,22829.334
6.563,22835.896
6.564,22842.461
6.550,22849.012
6.470,22855.482
6.410,22861.893
6.393,22868.285
6.351,22874.635
6.358,22880.992
6.333,22887.326
6.338,22893.664
6.292,22899.955
6.284,22906.238
6.301,22912.539
6.331,22918.869
6.361,22925.230
6.383,22931.613
6.410,22938.023
6.434,22944.457
6.472,22950.930
6.496,22957.426
6.534,22963.959
6.550,22970.510
6.591,22977.100
6.611,22983.711
6.640,22990.352
6.665,22997.016
6.678,23003.693
6.687,23010.381
6.638,23017.018
6.535,23023.553
6.523,23030.076
6.526,23036.602
6.556,23043.158
6.583,23049.740
6.576,23056.316
6.526,23062.842
6.425,23069.268
6.400,23075.668
6.410,23082.078
6.432,23088.510
6.451,23094.961
6.469,23101.430
6.457,23107.887
6.417,23114.305
6.360,23120.666
6.343,23127.010
6.340,23133.350
6.373,23139.723
6.341,23146.063
6.266,23152.328
6.188,23158.516
6.180,23164.695
6.189,23170.885
MARK 005
6.083,23176.969
6.096,23183.064
6.120,23189.186
6.140,23195.326
6.160,23201.486
6.178,23207.664
6.209,23213.873
6.242,23220.115
6.269,23226.385
6.291,23232.676
6.323,23238.998
6.311,23245.309
6.320,23251.629
6.247,23257.875
6.217,23264.092
6.185,23270.277
6.187,23276.465
6.120,23282.586
6.063,23288.648
5.974,23294.623
5.959,23300.582
5.974,23306.557
6.001,23312.557
6.009,23318.564
6.026,23324.592
6.058,23330.650
6.078,23336.729
6.110,23342.838
6.133,23348.971
6.153,23355.123
6.184,23361.307
6.210,23367.516
6.239,23373.754
6.261,23380.016
6.286,23386.301
6.320,23392.621
6.348,23398.969
6.368,23405.336
6.400,23411.736
6.422,23418.158
6.442,23424.600
6.451,23431.051
6.474,23437.525
6.436,23443.961
6.430,23450.391
6.358,23456.748
6.338,23463.086
6.266,23469.352
6.148,23475.500
6.098,23481.598
6.090,23487.688
6.011,23493.699
5.991,23499.691
5.999,23505.689
6.019,23511.707
6.036,23517.742
6.051,23523.793
6.085,23529.879
6.106,23535.984
6.135,23542.119
6.158,23548.277
6.187,23554.465
6.215,23560.680
6.236,23566.916
6.267,23573.184
6.298,23579.482
6.320,23585.803
6.348,23592.150
6.378,23598.527
6.409,23604.938
6.437,23611.375
6.453,23617.828
6.491,23624.318
6.518,23630.836
6.531,23637.367
6.531,23643.898
6.531,23650.430
6.447,23656.877
6.311,23663.188
6.276,23669.463
6.273,23675.736
6.207,23681.943
6.089,23688.031
6.058,23694.090
6.073,23700.162
6.090,23706.252
6.108,23712.359
6.125,23718.484
6.152,23724.637
6.174,23730.811
6.199,23737.010
6.234,23743.244
6.249,23749.492
6.281,23755.773
6.303,23762.076
6.338,23768.414
6.367,23774.781
6.387,23781.168
6.422,23787.590
6.436,23794.025
6.454,23800.480
6.461,23806.941
6.422,23813.363
6.313,23819.676
6.291,23825.967
6.256,23832.223
6.153,23838.375
6.120,23844.496
6.102,23850.598
6.026,23856.625
5.918,23862.543
5.887,23868.430
5.900,23874.330
5.914,23880.244
5.942,23886.186
5.957,23892.143
5.991,23898.135
6.011,23904.146
6.033,23910.180
6.063,23916.242
6.088,23922.330
6.116,23928.445
6.140,23934.586
6.168,23940.754
6.197,23946.951
6.224,23953.176
6.252,23959.428
6.278,23965.705
6.298,23972.004
6.338,23978.342
6.365,23984.707
6.387,23991.094
6.419,23997.514
6.444,24003.957
6.471,24010.428
6.491,24016.918
6.528,24023.445
6.553,24029.998
6.568,24036.566
6.585,24043.152
6.533,24049.686
6.523,24056.209
6.447,24062.656
6.313,24068.969
6.253,24075.223
6.167,24081.391
6.137,24087.527
6.056,24093.582
5.964,24099.547
5.932,24105.479
5.949,24111.428
5.969,24117.396
5.991,24123.389
6.009,24129.396
6.034,24135.430
6.066,24141.496
6.085,24147.582
6.118,24153.699
6.143,24159.842
6.172,24166.014
6.189,24172.203
6.222,24178.426
6.249,24184.674
6.283,24190.957
6.306,24197.264
6.330,24203.594
6.360,24209.953
6.392,24216.346
6.417,24222.764
6.439,24229.203
6.476,24235.680
6.508,24242.188
6.531,24248.719
6.563,24255.281
6.587,24261.869
6.624,24268.494
6.649,24275.145
6.677,24281.820
6.709,24288.529
6.739,24295.268
6.771,24302.039
6.800,24308.840
6.828,24315.668
6.860,24322.527
6.882,24329.408
6.922,24336.330
6.949,24343.279
6.981,24350.260
7.011,24357.271
7.045,24364.316
7.075,24371.393
7.110,24378.502
7.135,24385.637
7.169,24392.805
7.199,24400.004
7.233,24407.236
7.268,24414.504
7.298,24421.801
7.328,24429.129
7.362,24436.490
7.392,24443.883
7.429,24451.313
7.453,24458.766
7.496,24466.262
7.523,24473.785
7.560,24481.346
7.587,24488.934
7.632,24496.566
7.659,24504.225
7.699,24511.924
7.736,24519.660
7.770,24527.430
7.812,24535.242
7.849,24543.092
7.887,24550.979
7.921,24558.900
7.968,24566.869
8.003,24574.873
8.045,24582.918
8.080,24590.998
8.130,24599.127
8.162,24607.289
8.204,24615.492
8.248,24623.740
8.286,24632.025
8.333,24640.357
8.367,24648.725
8.417,24657.141
8.457,24665.598
8.509,24674.105
8.542,24682.648
8.591,24691.238
8.631,24699.869
8.679,24708.549
8.726,24717.275
8.771,24726.047
8.816,24734.863
8.870,24743.732
8.919,24752.650
8.959,24761.609
9.018,24770.627
9.065,24779.691
9.115,24788.807
9.170,24797.977
9.216,24807.193
9.268,24816.461
9.333,24825.795
9.377,24835.172
9.439,24844.611
9.491,24854.102
9.546,24863.646
9.602,24873.248
9.664,24882.912
9.723,24892.635
9.783,24902.418
9.843,24912.260
9.911,24922.172
9.971,24932.143
10.035,24942.178
10.105,24952.283
10.169,24962.453
10.231,24972.684
10.320,24983.004
10.382,24993.387
10.448,25003.836
10.538,25014.373
10.609,25024.982
10.686,25035.668
10.771,25046.439
10.850,25057.289
10.936,25068.225
11.031,25079.256
11.114,25090.371
11.213,25101.584
11.310,25112.895
11.401,25124.297
11.506,25135.803
11.600,25147.402
11.695,25159.098
11.734,25170.832
11.791,25182.623
11.840,25194.463
11.877,25206.340
11.959,25218.299
12.052,25230.352
11.992,25242.344
12.020,25254.363
12.150,25266.514
12.243,25278.756
12.337,25291.094
12.358,25303.451
12.380,25315.830
12.496,25328.326
12.300,25340.627
12.181,25352.809
12.358,25365.166
12.476,25377.643
12.620,25390.262
12.756,25403.018
12.807,25415.824
12.816,25428.641
12.825,25441.465
12.859,25454.324
12.857,25467.182
12.892,25480.074
12.993,25493.068
12.981,25506.049
12.790,25518.840
12.741,25531.582
12.919,25544.500
13.068,25557.568
12.738,25570.307
12.570,25582.877
12.741,25595.617
12.894,25608.512
12.917,25621.428
12.959,25634.387
12.580,25646.967
12.344,25659.311
12.521,25671.832
12.652,25684.484
12.798,25697.283
12.602,25709.885
12.486,25722.371
12.664,25735.035
12.798,25747.834
12.941,25760.775
12.546,25773.322
12.328,25785.650
12.500,25798.150
12.638,25810.787
12.778,25823.564
12.493,25836.057
12.320,25848.377
12.512,25860.889
12.637,25873.525
12.763,25886.289
12.483,25898.771
12.332,25911.104
12.498,25923.602
12.647,25936.248
MARK 006
12.834,25949.082
12.986,25962.068
12.599,25974.668
12.364,25987.031
12.527,25999.559
12.681,26012.238
12.807,26025.045
12.520,26037.564
12.374,26049.939
12.560,26062.500
12.698,26075.199
12.792,26087.992
12.750,26100.742
12.782,26113.523
12.450,26125.975
12.260,26138.234
12.431,26150.666
12.574,26163.240
12.656,26175.896
12.700,26188.598
12.398,26200.996
12.272,26213.268
12.421,26225.689
12.532,26238.221
12.473,26250.693
12.443,26263.137
12.582,26275.719
12.681,26288.398
12.434,26300.832
12.270,26313.102
12.446,26325.547
12.587,26338.133
12.718,26350.850
12.502,26363.352
12.390,26375.740
12.564,26388.305
12.698,26401.004
12.784,26413.789
12.750,26426.539
12.770,26439.309
12.473,26451.781
12.297,26464.078
12.475,26476.553
12.601,26489.154
12.710,26501.865
12.725,26514.590
12.696,26527.285
12.725,26540.010
12.446,26552.455
12.265,26564.721
12.428,26577.148
12.564,26589.713
12.641,26602.354
12.570,26614.924
12.591,26627.516
12.374,26639.889
12.217,26652.105
12.389,26664.494
12.531,26677.025
12.611,26689.637
12.537,26702.174
12.533,26714.707
12.448,26727.154
12.379,26739.533
12.554,26752.088
12.693,26764.781
12.666,26777.447
12.656,26790.104
12.440,26802.543
12.275,26814.818
12.456,26827.275
12.589,26839.863
12.721,26852.584
12.419,26865.002
12.252,26877.254
12.417,26889.670
12.542,26902.211
12.673,26914.883
12.537,26927.420
12.467,26939.887
12.656,26952.543
12.777,26965.320
12.834,26978.154
12.785,26990.939
12.812,27003.752
12.557,27016.309
12.399,27028.707
12.562,27041.270
12.725,27053.994
12.861,27066.855
12.619,27079.475
12.490,27091.965
12.666,27104.631
12.811,27117.441
12.955,27130.396
13.022,27143.418
12.936,27156.354
12.965,27169.318
12.811,27182.129
12.716,27194.844
12.891,27207.734
13.059,27220.793
13.201,27233.994
12.846,27246.840
12.661,27259.502
12.836,27272.338
13.001,27285.338
13.145,27298.482
13.149,27311.631
13.178,27324.809
13.283,27338.092
13.088,27351.180
13.050,27364.229
13.232,27377.461
13.322,27390.783
13.178,27403.961
13.174,27417.135
13.279,27430.414
13.388,27443.803
12.995,27456.797
12.783,27469.580
12.970,27482.549
13.131,27495.680
13.294,27508.975
13.197,27522.172
13.176,27535.348
13.341,27548.689
13.423,27562.113
13.193,27575.307
13.129,27588.436
13.336,27601.771
13.500,27615.271
13.465,27628.736
13.496,27642.232
13.144,27655.377
12.938,27668.314
13.146,27681.461
13.304,27694.766
13.480,27708.246
13.467,27721.713
13.468,27735.182
13.151,27748.332
12.945,27761.277
13.133,27774.410
13.316,27787.727
13.480,27801.207
13.599,27814.807
13.169,27827.977
12.958,27840.936
13.170,27854.105
13.332,27867.438
13.500,27880.938
13.599,27894.537
13.436,27907.973
13.398,27921.371
13.616,27934.988
13.787,27948.775
13.671,27962.447
13.618,27976.064
13.849,27989.914
14.020,28003.934
14.084,28018.018
13.799,28031.816
13.725,28045.541
13.955,28059.496
14.139,28073.635
14.302,28087.936
13.970,28101.904
13.826,28115.730
14.054,28129.785
14.263,28144.047
14.461,28158.508
14.589,28173.098
14.234,28187.332
14.106,28201.438
14.333,28215.770
14.550,28230.320
14.744,28245.064
14.882,28259.945
14.863,28274.809
14.936,28289.744
14.734,28304.479
14.690,28319.168
14.937,28334.105
15.173,28349.279
15.377,28364.656
15.566,28380.223
15.318,28395.541
15.253,28410.793
15.478,28426.271
15.737,28442.008
15.946,28457.953
16.046,28474.000
16.159,28490.158
16.179,28506.338
16.253,28522.592
16.303,28538.895
16.456,28555.350
16.580,28571.930
16.526,28588.455
16.629,28605.084
16.410,28621.494
16.432,28637.926
16.692,28654.617
17.006,28671.623
16.243,28687.865
15.895,28703.760
16.179,28719.938
16.501,28736.438
16.833,28753.270
16.665,28769.934
16.668,28786.602
17.017,28803.619
16.470,28820.088
16.251,28836.340
16.575,28852.916
16.903,28869.818
17.218,28887.037
16.493,28903.531
16.167,28919.699
16.486,28936.186
16.823,28953.008
17.137,28970.145
16.659,28986.803
16.454,29003.256
16.773,29020.029
17.139,29037.168
17.504,29054.672
17.909,29072.580
18.298,29090.877
18.041,29108.918
18.042,29126.961
18.489,29145.449
18.936,29164.385
19.357,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
0.000,29183.742
MARK 007
